Recipt_Number        Client number        Catalog number       Quantity             price                Date                
6                    1                    4                    1                    1200.000000          10/04/2024
4                    1                    5                    3                    960.000000           29/04/2024
5                    1                    2                    1                    1400.000000          29/04/2024
6                    1                    2                    1                    1400.000000          29/04/2024
7                    1                    1                    2                    1700.000000          29/04/2024
7                    1                    5                    1                    960.000000           29/04/2024
8                    1                    3                    1                    700.000000           29/04/2024
1                    2                    4                    3                    1200.000000          29/04/2024
2                    2                    4                    2                    1200.000000          29/04/2024
3                    2                    6                    1                    900.000000           29/04/2024
1                    3                    7                    2                    1360.000000          29/04/2024
2                    3                    6                    1                    900.000000           29/04/2024
3                    3                    4                    2                    1200.000000          29/04/2024
5                    3                    2                    2                    1400.000000          29/04/2024
1                    4                    1                    2                    1700.000000          29/04/2024
2                    4                    2                    1                    1400.000000          29/04/2024
1                    5                    2                    3                    1400.000000          29/04/2024
1                    6                    5                    3                    960.000000           29/04/2024
